#   There exist 12 targets in the Fleming et al (2019) Gaia distance estimates[***] and #
#   the Rebull et al.(2004) rotation period analysis[---] available for 10 targets.     #
#Cluster    Star       SpTyp      Radius    vsini   Period   Gaia DR2             SSTtau ID            R.A.     Dec.      Parall    Distance   PMRA     PMDec    µ
#-[0]-------[1]--------[2]--------[3]-------[4]-----[5]------[6]******************[7]******************[8]******[9]*******[10]******[11]*******[12]*****[13]****[14]    
Tau-Aur     AATau      K7-M0      1.5       11.4    8.22     147818450613367424   '043455.4 + 242853'   68.7309   24.4813   7.29      137.20     3.48    −20.99   21.27   
Tau-Aur     CITau      K7         1.6       10.4    np.nan   145203159127518336   '043352.0 + 225030'   68.4668   22.8416   6.30      158.71     8.90    −17.07   19.25   
Tau-Aur     CX Tau     M2         1.8       18.2    np.nan   162758236656524416   '041447.8 + 264811'   63.6995   26.8030   7.82      127.93     9.02    −22.45   24.20
Tau-Aur     CYTau      M1         1.5       10.0    7.50     164698634160139264   '041733.7 + 282046'   64.3906   28.3462   7.76      128.88     9.18    −25.55   27.15     
Tau-Aur     DETau      M1         2.2       10.0    7.60     152511475478780416   '042155.6 + 275506'   65.4819   27.9183   7.85      127.37     10.75   −27.22   29.27   
Tau-Aur     DGTau      M0         2.3       21.7    6.30     151262700852297728   '042704.6 + 260616'   66.7696   26.1044   8.25      121.18     6.16    −19.30   20.26   
Tau-Aur     DITau      M0         2.1       10.5    7.70     151374198202645376   '042942.4 + 263249'   67.4270   26.5469   7.40      135.12     6.90    −21.21   22.30   
Tau-Aur     DLTau      M1         1.4       16.0    9.40     148010281032823552   '043339.0 + 252038'   68.4129   25.3438   6.28      159.34     9.33    −18.29   20.53   
Tau-Aur     DNTau      M0         2.0        8.1    6.30     147606657186323712   '043527.3 + 241458'   68.8641   24.2496   7.80      128.22     6.05    −20.77   21.64   
Tau-Aur     DOTau      K7         2.2       11.0    np.nan   148449913884294528   '043828.5 + 261049'   69.6191   26.1803   7.17      139.38     6.13    −21.34   22.20   
Tau-Aur     IPTau      M0         1.5       11.0    3.25     152226491513195648   '042457.0 + 271156'   66.2379   27.1989   7.66      130.57     8.36    −26.75   28.02   
Tau-Aur     V1070Tau   K7         2.1       12.9    5.66     164422961683000320   '041941.2 + 274948'   64.9220   27.8299   7.91      126.37     9.94    −24.96   26.87   
Tau-Aur     V1115Tau   M0         1.5       21.9    3.35     148037764527442944   '043619.0 + 254258'   69.0796   25.7163   7.81      128.02     8.91    −27.47   28.88   
